id,carat,cut,color,clarity,depth,table,x,y,z,price
9942,0.23,Very Good,E,VVS2,61.8,58.0,3.92,3.94,2.43,6.273
9943,0.9,Fair,H,VS2,64.7,58.0,5.98,6.01,3.88,8.215
9944,1.01,Fair,D,SI2,64.6,62.0,6.26,6.21,4.03,8.42
9945,0.5,Very Good,F,VS1,61.4,58.0,5.05,5.14,3.13,7.522
9946,1.08,Premium,G,SI1,59.4,60.0,6.7,6.63,3.96,8.526
9947,0.71,Ideal,F,VVS1,61.4,56.0,5.75,5.78,3.54,8.521
9948,0.52,Ideal,F,VVS1,61.2,56.0,5.21,5.19,3.18,7.961
9949,0.39,Premium,J,VS2,61.3,60.0,4.65,4.68,2.86,6.365
9950,0.58,Premium,E,SI1,60.7,61.0,5.47,5.27,3.28,7.403
9951,0.3,Premium,H,VS2,61.1,61.0,4.33,4.31,2.64,6.41
9952,0.7,Very Good,E,VS2,63.5,54.0,5.62,5.66,3.58,7.969
9953,0.5,Ideal,J,VS1,63.0,56.0,5.08,5.05,3.19,6.892
9954,0.56,Very Good,H,SI1,61.3,60.0,5.23,5.28,3.22,7.088
9955,0.51,Premium,G,VS2,62.4,58.0,5.11,5.12,3.19,7.271
9956,0.33,Ideal,G,IF,61.5,55.0,4.48,4.5,2.76,6.852
9957,0.77,Premium,E,SI2,58.2,60.0,6.01,5.95,3.48,7.766
9958,0.4,Good,G,VS1,59.6,61.0,4.8,4.86,2.88,6.709
9959,0.55,Very Good,F,VS2,62.6,57.0,5.19,5.23,3.26,7.383
9960,2.21,Very Good,F,SI2,61.0,58.0,8.36,8.43,5.12,9.825
9961,1.64,Ideal,I,VS1,62.1,55.0,7.57,7.59,4.71,9.4
9962,0.57,Ideal,E,VS2,61.0,54.0,5.43,5.39,3.3,7.749
9963,0.39,Premium,E,VS2,61.3,61.0,4.7,4.66,2.87,6.858
9964,0.39,Ideal,F,VS1,60.9,56.0,4.68,4.75,2.87,6.796
9965,0.9,Ideal,E,SI1,61.7,56.0,6.16,6.23,3.82,8.33
9966,1.51,Good,I,SI2,63.6,60.0,7.27,7.23,4.61,8.982
9967,0.33,Ideal,G,VS2,62.3,57.0,4.4,4.43,2.75,6.361
9968,1.0,Ideal,F,SI2,61.8,57.0,6.45,6.36,3.96,8.36
9969,0.5,Premium,H,SI1,62.1,60.0,5.06,5.02,3.13,7.106
9970,0.31,Ideal,G,VVS1,60.6,57.0,4.4,4.38,2.66,6.953
9971,0.34,Ideal,E,VS1,62.8,56.0,4.46,4.49,2.81,6.554
9972,0.72,Very Good,F,VVS2,63.4,56.0,5.68,5.71,3.61,8.113
9973,0.58,Ideal,D,SI2,62.7,56.0,5.3,5.32,3.33,7.202
9974,0.56,Premium,E,VS1,62.6,58.0,5.23,5.28,3.29,7.565
9975,0.4,Very Good,F,IF,62.8,57.0,4.65,4.68,2.93,7.247
9976,0.78,Ideal,H,VVS2,62.1,56.0,5.88,5.9,3.66,8.183
9977,0.56,Very Good,D,VS1,60.8,60.0,5.32,5.34,3.24,7.691
9978,1.13,Premium,J,SI1,61.3,59.0,6.77,6.67,4.12,8.346
9979,1.01,Good,D,VVS2,63.5,57.0,6.32,6.35,4.02,9.099
9980,0.57,Ideal,F,VVS2,62.1,56.0,5.31,5.35,3.31,7.757
9981,0.66,Very Good,F,SI1,59.2,58.0,5.69,5.72,3.38,7.559
9982,1.01,Ideal,I,SI1,62.4,56.0,6.36,6.4,3.98,8.43
9983,1.71,Very Good,H,VS1,62.0,56.0,7.64,7.68,4.75,9.54
9984,0.26,Very Good,E,VVS2,64.3,57.0,3.99,4.03,2.58,6.304
9985,1.2,Premium,H,SI1,62.9,55.0,6.77,6.74,4.25,8.695
9986,1.05,Premium,F,SI1,61.8,58.0,6.51,6.44,4.01,8.4
9987,0.26,Ideal,F,VVS1,62.7,55.0,4.1,4.07,2.56,6.702
9988,1.7,Ideal,J,SI2,62.0,53.0,7.68,7.65,4.75,8.918
9989,1.01,Ideal,F,VS2,60.3,56.0,6.56,6.5,3.94,8.824
9990,0.41,Ideal,H,IF,62.1,56.0,4.74,4.76,2.95,7.079
9991,0.36,Ideal,H,VS2,62.1,55.0,4.58,4.57,2.84,6.592
9992,0.61,Ideal,D,SI1,62.0,55.0,5.47,5.44,3.38,7.615
9993,0.7,Ideal,H,VS1,61.7,55.0,5.69,5.72,3.52,8.008
9994,1.7,Very Good,I,VS2,58.5,59.0,7.81,7.89,4.59,9.323
9995,0.5,Ideal,I,VS1,62.2,55.0,5.07,5.11,3.16,7.156
9996,0.41,Premium,F,VS2,61.6,59.0,4.77,4.74,2.93,7.009
9997,1.24,Ideal,J,VS2,62.1,56.0,6.86,6.9,4.27,8.801
9998,0.32,Ideal,J,VS2,62.1,54.0,4.44,4.38,2.74,6.223
9999,0.75,Ideal,I,VS1,63.0,57.0,5.8,5.82,3.66,7.868
10000,0.33,Ideal,G,IF,61.0,56.0,4.48,4.5,2.74,6.852
10001,1.06,Premium,F,SI2,62.6,59.0,6.47,6.51,4.06,8.251
10002,0.73,Ideal,E,VS2,61.4,55.0,5.82,5.8,3.57,7.973
10003,2.19,Premium,I,SI2,60.8,60.0,8.38,8.34,5.08,9.627
10004,1.3,Very Good,H,SI2,62.8,58.0,6.93,7.01,4.38,8.723
10005,0.3,Very Good,H,SI1,63.3,56.0,4.29,4.27,2.71,6.317
10006,1.03,Ideal,G,VVS1,62.0,56.0,6.54,6.5,4.04,9.036
10007,1.02,Premium,F,SI1,58.4,59.0,6.65,6.57,3.86,8.488
10008,0.82,Fair,G,SI1,66.4,54.0,5.87,5.82,3.88,7.757
10009,1.07,Ideal,G,SI1,62.1,57.0,6.59,6.52,4.07,8.563
10010,0.44,Premium,H,VS2,61.3,58.0,4.88,4.91,3.0,6.697
10011,1.28,Premium,G,VS2,62.2,59.0,6.94,6.89,4.3,9.109
10012,0.59,Ideal,G,VVS2,62.2,56.0,5.35,5.39,3.34,7.682
10013,1.2,Good,D,SI2,63.7,52.0,6.72,6.68,4.27,8.755
10014,0.72,Fair,I,SI1,64.8,54.0,5.69,5.67,3.68,7.495
10015,0.91,Very Good,F,SI1,62.2,57.0,6.19,6.25,3.87,8.321
10016,1.01,Very Good,D,SI2,62.9,59.0,6.29,6.37,3.98,8.31
10017,0.31,Ideal,E,VS2,61.9,55.0,4.39,4.36,2.71,6.771
10018,1.5,Ideal,F,VS2,61.9,56.0,7.33,7.31,4.53,9.654
10019,0.9,Premium,H,VS2,60.0,59.0,6.23,6.16,3.72,8.197
10020,0.51,Very Good,E,VS2,61.4,56.0,5.15,5.18,3.17,7.385
10021,1.59,Ideal,J,VS2,62.9,58.0,7.45,7.39,4.66,9.069
10022,0.7,Premium,G,SI1,61.4,60.0,5.69,5.74,3.51,7.781
10023,1.07,Good,F,I1,64.3,59.0,6.42,6.37,4.11,8.136
10024,0.37,Premium,F,VS2,61.9,59.0,4.57,4.61,2.84,6.615
10025,0.53,Very Good,H,SI2,61.4,57.0,5.21,5.25,3.21,6.953
10026,0.92,Premium,E,SI2,62.1,58.0,6.22,6.18,3.85,8.279
10027,2.11,Premium,G,SI2,59.1,59.0,8.33,8.4,4.94,9.665
10028,0.32,Premium,G,VVS2,61.2,59.0,4.44,4.39,2.7,6.842
10029,1.14,Ideal,G,VS1,60.9,57.0,6.7,6.82,4.12,8.955
10030,1.61,Very Good,E,SI2,63.0,59.9,7.42,7.45,4.68,9.296
10031,0.33,Ideal,H,VS1,62.0,55.0,4.44,4.46,2.76,6.361
10032,1.23,Ideal,G,VVS2,61.3,56.0,6.89,6.91,4.23,9.254
10033,0.51,Good,F,SI1,64.1,58.0,5.03,5.02,3.22,7.15
10034,0.82,Ideal,I,VS1,61.6,57.0,6.0,6.05,3.71,8.002
10035,2.01,Premium,E,SI2,62.6,58.0,8.01,7.93,4.99,9.582
10036,1.02,Premium,H,SI1,61.8,56.0,6.47,6.42,3.98,8.319
10037,0.75,Very Good,F,VS1,60.9,59.0,5.83,5.87,3.56,8.077
10038,1.14,Ideal,H,SI1,60.4,57.0,6.78,6.83,4.11,8.676
10039,0.25,Premium,E,VVS2,62.5,59.0,4.02,4.04,2.52,6.356
10040,0.71,Ideal,F,VS1,61.5,57.0,5.7,5.74,3.52,8.133
10041,0.61,Ideal,E,VVS2,62.4,53.6,5.42,5.45,3.39,7.975
10042,1.01,Good,D,SI1,63.9,61.0,6.31,6.28,4.02,8.546
10043,1.0,Ideal,E,SI2,62.0,57.0,6.37,6.41,3.96,8.439
10044,0.7,Good,E,SI1,63.2,57.0,5.61,5.63,3.55,7.822
10045,1.0,Ideal,E,SI1,62.4,55.0,6.34,6.42,3.98,8.752
10046,0.23,Ideal,G,VS1,61.9,54.0,3.93,3.95,2.44,6.001
10047,0.55,Ideal,I,VS1,62.5,57.0,5.19,5.25,3.26,7.168
10048,0.7,Very Good,E,SI2,62.0,60.0,5.67,5.72,3.53,7.722
10049,0.45,Premium,D,VVS2,59.8,59.0,5.01,4.85,2.96,7.345
10050,0.25,Very Good,E,VVS2,62.7,59.0,4.01,4.03,2.52,6.354
10051,2.02,Very Good,J,SI2,62.4,55.0,8.05,8.11,5.04,9.372
10052,0.51,Premium,E,VS2,59.3,58.0,5.23,5.2,3.09,7.416
10053,0.51,Ideal,E,VVS1,61.3,56.0,5.21,5.13,3.17,8.079
10054,0.51,Ideal,E,VS1,61.4,56.0,5.14,5.16,3.16,7.711
10055,1.7,Ideal,H,VVS1,61.4,57.0,7.63,7.69,4.7,9.589
10056,0.9,Good,G,SI1,62.8,59.0,6.08,6.12,3.83,8.225
10057,0.4,Premium,D,VVS2,62.0,61.0,4.72,4.7,2.92,7.095
10058,1.2,Very Good,F,SI2,63.3,59.0,6.7,6.66,4.23,8.36
10059,1.0,Premium,J,VS1,59.7,62.0,6.52,6.46,3.87,8.2
10060,0.58,Ideal,G,SI1,61.4,55.8,5.34,5.38,3.29,7.274
10061,1.15,Ideal,H,SI2,62.2,57.0,6.68,6.63,4.14,8.34
10062,1.07,Premium,H,SI1,60.7,60.0,6.64,6.61,4.02,8.469
10063,0.53,Good,F,SI1,63.8,56.0,5.16,5.13,3.28,7.217
10064,0.57,Ideal,F,VS2,60.7,56.0,5.37,5.41,3.27,7.648
10065,1.01,Ideal,D,VVS2,62.3,53.0,6.4,6.47,4.02,9.313
10066,0.6,Ideal,E,SI1,61.3,56.0,5.49,5.44,3.35,7.544
10067,0.72,Ideal,H,VVS2,60.9,56.0,5.78,5.84,3.54,8.153
10068,1.53,Premium,D,SI1,61.6,58.0,7.35,7.42,4.55,9.279
10069,0.72,Very Good,I,VS1,63.5,57.0,5.66,5.68,3.6,7.77
10070,0.5,Ideal,E,SI1,59.7,62.0,5.16,5.19,3.09,7.194
10071,1.01,Very Good,F,VS2,63.1,60.0,6.39,6.36,4.02,8.785
10072,0.3,Ideal,E,VVS2,61.3,54.0,4.34,4.37,2.67,6.73
10073,0.34,Premium,I,VVS1,62.4,59.0,4.44,4.4,2.76,6.688
10074,2.0,Very Good,I,VS2,60.4,60.0,8.14,8.19,4.93,9.709
10075,0.52,Ideal,I,VS2,61.9,55.0,5.19,5.21,3.22,7.102
10076,0.7,Very Good,D,VS1,63.4,59.0,5.58,5.55,3.53,8.007
10077,0.36,Ideal,F,VS2,60.9,57.0,4.61,4.58,2.8,6.837
10078,0.36,Premium,E,SI2,58.5,59.0,4.67,4.63,2.72,6.163
10079,1.2,Ideal,H,VVS1,60.2,57.0,6.87,6.94,4.15,9.17
10080,0.35,Ideal,D,VS2,60.7,56.0,4.6,4.56,2.78,6.969
10081,1.29,Ideal,F,SI2,60.7,58.0,7.0,7.07,4.27,8.819
10082,1.01,Premium,H,SI1,60.0,62.0,6.51,6.45,3.89,8.484
10083,0.31,Ideal,F,VS2,60.8,57.0,4.36,4.39,2.66,6.438
10084,0.27,Ideal,H,VS1,62.3,56.0,4.15,4.17,2.59,6.14
10085,1.17,Very Good,G,SI2,61.2,58.0,6.84,6.86,4.19,8.63
10086,0.5,Fair,G,VS1,66.5,58.0,4.99,4.9,3.29,7.118
10087,0.81,Good,H,SI1,63.0,58.0,5.79,5.87,3.67,7.838
10088,0.55,Very Good,G,VS1,62.0,57.0,5.25,5.3,3.27,7.488
10089,1.01,Premium,E,SI1,62.4,60.0,6.35,6.32,3.95,8.518
10090,1.0,Ideal,H,VVS1,61.5,59.0,6.37,6.41,3.93,8.785
10091,0.41,Ideal,J,VS1,62.2,54.5,4.75,4.76,2.96,6.513
10092,0.9,Good,I,IF,63.7,64.0,6.02,6.07,3.85,8.225
10093,0.31,Ideal,G,VVS1,60.6,57.0,4.38,4.4,2.66,6.704
10094,0.7,Good,G,VS1,64.3,57.0,5.59,5.64,3.61,7.873
10095,1.01,Premium,F,VS2,60.4,59.0,6.52,6.46,3.92,8.744
10096,0.31,Ideal,F,VS2,61.6,55.0,4.36,4.38,2.69,6.629
10097,0.53,Ideal,F,SI1,60.0,57.0,5.3,5.27,3.17,7.554
10098,0.73,Premium,J,VS1,60.2,58.0,5.87,5.82,3.52,7.619
10099,0.3,Ideal,E,IF,61.3,58.0,4.28,4.33,2.64,6.864
10100,1.17,Ideal,H,SI2,61.4,56.0,6.83,6.76,4.17,8.589
10101,0.3,Very Good,I,VVS1,61.2,60.0,4.27,4.29,2.62,6.314
10102,0.31,Good,D,SI1,63.8,57.0,4.33,4.29,2.75,6.528
10103,0.52,Good,D,VS2,63.4,56.0,5.09,5.16,3.25,7.439
10104,0.31,Ideal,I,VVS1,61.3,56.0,4.36,4.38,2.68,6.323
10105,0.9,Ideal,H,SI1,61.1,58.0,6.24,6.19,3.79,8.286
10106,0.7,Good,I,SI1,58.5,61.0,5.76,5.82,3.39,7.73
10107,0.3,Good,G,SI2,63.7,54.0,4.25,4.23,2.7,6.227
10108,1.04,Premium,G,SI2,60.6,59.0,6.6,6.56,3.99,8.268
10109,1.57,Ideal,H,VS1,62.2,55.0,7.44,7.49,4.64,9.458
10110,0.4,Premium,G,SI1,59.2,61.0,4.81,4.78,2.84,6.802
10111,0.33,Ideal,E,VS2,62.3,56.0,4.47,4.46,2.78,6.833
10112,1.02,Good,E,SI2,64.2,59.0,6.26,6.2,4.0,8.393
10113,0.47,Ideal,H,VS2,61.7,57.0,4.99,5.03,3.09,7.035
10114,1.38,Premium,J,SI1,59.0,59.0,7.38,7.32,4.34,8.685
10115,0.3,Ideal,E,VS2,61.6,55.0,4.31,4.33,2.66,6.489
10116,0.9,Ideal,E,VS2,62.0,59.0,6.17,6.21,3.84,8.601
10117,2.09,Ideal,I,SI1,61.4,56.0,8.23,8.27,5.06,9.723
10118,1.75,Ideal,J,VS2,62.1,56.0,7.74,7.69,4.79,9.199
10119,1.5,Ideal,H,VS1,61.3,55.0,7.37,7.34,4.51,9.218
10120,0.39,Ideal,D,VS1,62.0,57.0,4.71,4.67,2.91,7.065
10121,0.33,Ideal,F,VS2,62.1,54.0,4.46,4.43,2.76,6.75
10122,0.36,Ideal,G,VS1,61.6,56.0,4.59,4.56,2.82,6.837
10123,0.35,Ideal,F,IF,60.9,55.0,4.58,4.61,2.8,7.179
10124,0.71,Premium,D,SI2,59.7,60.0,5.84,5.79,3.47,7.712
10125,0.36,Ideal,E,VS2,61.7,55.0,4.63,4.57,2.84,6.921
10126,0.3,Ideal,D,SI1,61.0,57.0,4.29,4.33,2.63,6.314
10127,0.3,Ideal,E,IF,62.0,54.0,4.31,4.34,2.68,6.849
10128,1.0,Premium,F,VVS2,61.9,61.0,6.45,6.32,3.95,8.882
10129,0.9,Good,J,SI1,64.0,61.0,6.0,5.96,3.83,7.963
10130,1.52,Premium,F,SI2,62.3,59.0,7.37,7.33,4.58,9.029
10131,0.41,Premium,E,VS1,59.9,58.0,4.88,4.83,2.91,7.05
10132,0.24,Very Good,I,VS1,61.8,56.0,3.98,4.01,2.46,5.984
10133,1.2,Ideal,H,SI1,62.9,57.0,6.79,6.76,4.26,8.614
10134,0.82,Very Good,E,SI2,63.3,56.0,5.99,5.95,3.78,7.998
10135,1.01,Premium,G,VS1,62.4,59.0,6.38,6.35,3.97,8.726
10136,0.34,Premium,G,VS2,61.6,60.0,4.47,4.49,2.76,6.39
10137,0.72,Very Good,F,VS2,63.6,58.0,5.66,5.69,3.61,7.933
10138,0.5,Ideal,F,VS2,61.2,57.0,5.1,5.13,3.13,7.27
10139,0.51,Premium,E,VS1,61.8,58.0,5.13,5.09,3.16,7.472
10140,0.77,Very Good,D,VS2,61.2,59.0,5.86,5.91,3.6,8.157
10141,1.09,Ideal,G,VVS1,62.1,55.0,6.58,6.63,4.1,9.08
10142,0.32,Ideal,G,VS1,60.8,57.0,4.39,4.42,2.68,6.469
10143,0.55,Very Good,D,SI2,59.7,64.0,5.26,5.32,3.16,7.245
10144,0.36,Premium,F,VS2,62.0,59.0,4.56,4.51,2.81,6.693
10145,1.08,Ideal,J,VS2,62.3,56.0,6.6,6.53,4.09,8.317
10146,0.71,Ideal,E,VS2,62.7,57.0,5.66,5.64,3.54,7.943
10147,0.3,Good,I,SI1,64.1,57.0,4.3,4.25,2.74,6.227
10148,0.41,Premium,H,SI1,60.9,60.0,4.79,4.83,2.93,6.526
10149,0.52,Ideal,F,VVS2,62.1,54.0,5.17,5.2,3.22,7.59
10150,0.26,Premium,H,VVS2,59.8,61.0,4.18,4.15,2.49,6.337
10151,0.32,Ideal,F,VVS1,60.7,56.0,4.45,4.43,2.7,6.808
10152,1.07,Premium,H,VS1,62.5,56.0,6.6,6.52,4.1,8.659
10153,0.54,Ideal,H,VVS1,61.2,57.0,5.21,5.25,3.2,7.452
10154,1.98,Fair,H,VS1,58.3,69.0,8.28,8.17,4.8,9.467
10155,0.84,Very Good,J,VS1,61.9,58.0,6.03,6.05,3.74,7.841
10156,1.71,Premium,H,SI2,62.5,57.0,7.67,7.62,4.78,9.277
10157,0.31,Ideal,E,VS1,61.3,55.0,4.4,4.43,2.7,6.685
10158,0.5,Very Good,G,VS1,63.2,59.0,5.03,5.07,3.19,7.365
10159,0.23,Very Good,E,VVS1,61.3,58.0,3.94,3.96,2.42,6.157
10160,0.7,Premium,F,VVS2,62.2,58.0,5.72,5.66,3.54,7.998
10161,1.39,Very Good,I,VS1,62.2,57.0,7.17,7.1,4.44,8.974
10162,1.01,Premium,H,VS1,62.1,62.0,6.36,6.32,3.94,8.67
10163,0.92,Very Good,F,SI1,63.8,56.0,6.12,6.17,3.92,8.274
10164,0.71,Ideal,G,VS1,61.8,57.0,5.69,5.73,3.53,8.141
10165,0.3,Very Good,E,SI1,62.9,56.0,4.25,4.3,2.69,6.265
10166,0.3,Premium,G,VVS2,61.3,57.0,4.33,4.29,2.64,6.778
10167,0.77,Very Good,D,SI1,59.9,59.0,5.9,5.95,3.55,8.084
10168,0.53,Premium,D,VS2,59.9,58.0,5.26,5.29,3.16,7.458
10169,1.2,Ideal,H,SI1,62.7,55.0,6.76,6.73,4.23,8.781
10170,1.01,Premium,E,SI2,62.9,59.0,6.37,6.31,3.99,8.453
10171,1.0,Good,F,VS2,63.7,59.0,6.32,6.27,4.01,8.706
10172,0.38,Very Good,D,VS1,59.5,61.0,4.66,4.69,2.78,6.825
10173,2.01,Premium,H,VS2,62.6,59.0,8.02,7.88,4.98,9.518
10174,0.23,Very Good,F,VVS2,59.3,57.0,4.01,4.05,2.39,6.273
10175,0.7,Good,E,VS1,58.7,60.0,5.79,5.83,3.41,8.055
10176,1.06,Premium,D,VS2,59.3,55.0,6.7,6.65,3.96,8.92
10177,0.77,Premium,I,VS1,62.6,55.0,5.9,5.85,3.68,7.834
10178,0.9,Very Good,E,SI2,63.4,62.0,6.02,6.0,3.81,8.034
10179,0.33,Ideal,G,VS1,61.7,56.0,4.47,4.44,2.75,6.75
10180,1.01,Good,G,VVS2,62.4,59.0,6.32,6.37,3.96,8.9
10181,0.66,Ideal,E,SI2,62.4,56.0,5.61,5.55,3.48,7.368
10182,1.29,Premium,H,SI2,61.0,57.0,7.13,6.95,4.31,8.597
10183,1.0,Very Good,E,VS2,62.6,60.0,6.35,6.4,3.99,8.782
10184,1.19,Ideal,F,SI1,62.1,56.0,6.81,6.84,4.24,8.689
10185,1.51,Ideal,E,SI2,61.9,56.0,7.36,7.31,4.54,9.286
10186,0.31,Premium,D,IF,60.2,59.0,4.39,4.42,2.65,7.062
10187,0.41,Very Good,F,VS1,63.0,57.0,4.66,4.7,2.95,6.836
10188,1.53,Premium,I,VS2,62.0,58.0,7.36,7.41,4.58,9.212
10189,0.5,Very Good,D,VS2,63.2,60.0,5.04,5.02,3.18,7.398
10190,0.51,Ideal,E,VS2,61.6,56.3,5.14,5.15,3.16,7.412
10191,0.9,Ideal,H,VS1,62.0,54.0,6.2,6.23,3.86,8.52
10192,2.07,Very Good,I,SI2,63.1,57.0,8.2,8.1,5.14,9.632
10193,0.84,Premium,E,SI2,59.2,59.0,6.19,6.14,3.65,8.035
10194,0.7,Very Good,E,SI1,61.2,57.0,5.68,5.73,3.49,7.92
10195,1.01,Good,F,VS1,61.8,57.0,6.34,6.44,3.95,8.799
10196,0.71,Premium,D,VVS1,58.8,58.0,5.89,5.81,3.44,8.282
10197,0.39,Ideal,G,VS1,62.2,54.3,4.66,4.69,2.91,6.749
10198,0.4,Ideal,E,SI2,61.3,56.0,4.75,4.78,2.92,6.444
10199,0.45,Very Good,G,VVS1,60.0,57.0,4.99,5.02,3.0,7.084
10200,0.32,Ideal,H,VVS1,62.0,54.0,4.39,4.42,2.73,6.562
10201,2.03,Ideal,F,SI2,61.4,58.0,8.12,8.16,5.0,9.827
10202,0.3,Premium,J,VS1,62.4,58.0,4.3,4.26,2.67,6.227
10203,0.38,Very Good,G,SI1,57.5,60.0,4.83,4.88,2.79,6.395
10204,0.33,Premium,G,VS1,61.3,58.0,4.42,4.45,2.72,6.501
10205,1.05,Ideal,G,VVS2,61.4,56.0,6.54,6.59,4.03,9.165
10206,0.5,Very Good,E,SI2,59.9,57.0,5.12,5.16,3.08,7.0
10207,0.51,Ideal,D,SI1,60.7,56.0,5.18,5.2,3.15,7.541
10208,0.62,Good,G,VS2,61.0,62.0,5.41,5.5,3.33,7.523
10209,0.78,Ideal,D,VS2,62.2,55.0,5.87,5.97,3.68,8.259
10210,1.51,Premium,F,VS2,62.9,61.0,7.31,7.22,4.57,9.543
10211,1.01,Premium,F,SI2,62.0,59.0,6.49,6.43,4.01,8.312
10212,1.13,Premium,H,VS2,61.7,56.0,6.73,6.65,4.13,8.653
10213,0.3,Ideal,F,IF,59.8,58.0,4.37,4.46,2.64,6.772
10214,0.31,Ideal,D,VS1,61.6,55.0,4.3,4.33,2.66,6.569
10215,0.33,Ideal,H,IF,62.0,55.0,4.46,4.48,2.77,6.731
10216,1.14,Ideal,J,VS1,61.5,57.0,6.7,6.73,4.13,8.593
10217,0.33,Very Good,H,VS1,62.9,59.0,4.35,4.4,2.75,6.361
10218,1.03,Ideal,D,SI2,60.7,58.0,6.51,6.53,3.96,8.672
10219,0.31,Ideal,G,IF,61.0,55.0,4.39,4.42,2.69,6.77
10220,0.76,Very Good,H,SI1,60.9,55.0,5.92,5.94,3.61,7.951
10221,0.73,Premium,D,VS1,60.0,58.0,5.86,5.9,3.53,8.194
10222,0.72,Ideal,I,SI1,61.3,56.0,5.78,5.81,3.55,7.763
10223,0.9,Good,G,SI2,63.7,62.0,6.07,6.01,3.85,8.011
10224,0.38,Ideal,D,VS2,61.8,56.0,4.65,4.67,2.88,6.921
10225,0.52,Very Good,F,SI1,61.0,59.0,5.18,5.21,3.17,7.19
10226,2.06,Ideal,I,VS2,62.2,55.0,8.15,8.19,5.08,9.84
10227,0.32,Ideal,H,SI1,61.2,56.0,4.43,4.46,2.72,6.064
10228,1.23,Premium,I,SI2,62.5,60.0,6.82,6.75,4.24,8.57
10229,0.4,Premium,D,VS2,61.7,59.0,4.73,4.76,2.93,6.89
10230,1.05,Ideal,G,VS2,61.6,59.0,6.51,6.54,4.02,8.851
10231,0.4,Good,D,VS2,63.2,57.0,4.65,4.71,2.96,6.667
10232,0.41,Good,E,VS2,63.1,64.0,4.63,4.66,2.93,6.813
10233,1.0,Good,E,SI2,63.7,61.0,6.27,6.32,4.01,8.248
10234,0.71,Ideal,F,SI1,61.9,56.0,5.69,5.74,3.54,8.006
10235,0.71,Premium,E,SI1,60.4,62.0,5.72,5.67,3.44,7.8
10236,0.3,Premium,D,SI1,62.2,61.0,4.28,4.24,2.65,6.564
10237,1.06,Ideal,G,VS2,61.8,57.0,6.56,6.52,4.04,8.739
10238,1.53,Very Good,G,VS2,58.9,59.0,7.58,7.61,4.47,9.49
10239,2.27,Premium,I,SI2,62.5,59.0,8.45,8.39,5.26,9.612
10240,0.71,Very Good,F,VVS1,63.2,60.0,5.65,5.61,3.56,7.959
10241,0.54,Ideal,H,IF,61.5,54.0,5.27,5.3,3.25,7.591
10242,0.53,Premium,J,VS2,62.7,56.0,5.18,5.15,3.24,6.997
10243,0.3,Ideal,F,VS1,61.7,56.0,4.32,4.34,2.67,6.346
10244,0.37,Ideal,E,SI1,61.9,56.0,4.6,4.57,2.84,6.725
10245,1.26,Ideal,G,VS2,61.5,57.0,6.94,6.89,4.25,8.664
10246,1.24,Ideal,I,SI2,61.8,58.0,6.85,6.9,4.25,8.677
10247,1.09,Ideal,D,SI2,62.1,56.0,6.56,6.59,4.08,8.549
10248,1.06,Very Good,F,SI1,62.3,56.0,6.5,6.57,4.07,8.516
10249,0.33,Ideal,H,SI2,61.2,54.0,4.45,4.5,2.74,6.105
10250,0.56,Premium,G,SI1,62.4,58.0,5.23,5.29,3.28,7.173
10251,0.35,Ideal,H,VVS1,62.6,57.0,4.47,4.45,2.79,6.931
10252,1.0,Fair,G,SI1,65.8,55.0,6.22,6.19,4.08,8.103
10253,1.1,Ideal,G,SI1,62.5,57.0,6.61,6.58,4.12,8.408
10254,0.71,Premium,F,SI1,62.3,57.0,5.73,5.66,3.55,7.807
10255,0.31,Ideal,D,VVS2,62.0,56.0,4.37,4.34,2.7,6.89
10256,0.3,Premium,G,VS1,62.3,59.0,4.3,4.27,2.67,6.654
10257,1.53,Premium,J,VVS1,61.6,59.0,7.35,7.39,4.54,9.147
10258,0.81,Premium,I,VVS2,62.9,59.0,5.95,5.84,3.71,8.034
10259,1.31,Premium,H,VS2,62.5,58.0,6.97,6.94,4.35,8.892
10260,0.32,Good,E,VS2,64.1,54.0,4.34,4.37,2.79,6.321
10261,0.31,Premium,D,SI1,60.9,60.0,4.38,4.39,2.67,6.347
10262,0.61,Premium,F,VVS1,61.8,59.0,5.48,5.4,3.36,7.92
10263,0.56,Ideal,F,VS2,61.6,56.0,5.28,5.31,3.26,7.422
10264,1.0,Very Good,E,VVS2,61.6,60.0,6.41,6.45,3.96,9.12
10265,0.3,Ideal,G,VS1,61.4,55.0,4.31,4.36,2.66,6.405
10266,0.9,Very Good,F,SI2,60.3,63.0,6.28,6.21,3.77,8.197
10267,0.31,Ideal,D,VS2,61.2,55.0,4.42,4.37,2.69,6.848
10268,0.36,Premium,E,VS2,59.8,62.0,4.61,4.56,2.74,6.921
10269,1.73,Premium,E,SI1,62.6,58.0,7.67,7.59,4.78,9.696
10270,1.2,Premium,G,VS1,61.4,60.0,6.86,6.81,4.2,9.059
10271,0.31,Fair,E,VS2,54.2,63.0,4.61,4.51,2.47,6.702
10272,0.25,Very Good,F,VVS2,62.4,55.0,4.03,4.06,2.52,6.45
10273,0.72,Ideal,G,VS2,61.9,58.0,5.72,5.75,3.55,7.936
10274,0.9,Premium,F,VS1,59.0,58.0,6.29,6.33,3.72,8.47
10275,0.71,Very Good,E,VS2,63.8,58.0,5.62,5.66,3.6,7.939
10276,0.31,Ideal,H,VS2,62.4,55.0,4.36,4.33,2.71,6.443
